lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,G4M-P_x,G4M-Q_x,G4M-R_x,G4M-S_x,G4M-P_y,G4M-Q_y,G4M-R_y,G4M-S_y,Blank1
"[TG(49:7),TG(48:0)]_FA18:2",0,3.525643159242646,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.538380372543011e-06,1.9605520040076038e-05,1.2230459193378676e-05,1.494860236342235e-05,5.538380372543011e-06,1.9605520040076038e-05,1.2230459193378676e-05,1.494860236342235e-05,8.86312860434571e-06
"[TG(49:7),TG(48:0)]_FA18:3",0,3.630110899328601,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.936433238745885e-06,2.1417843879442357e-05,1.3226003960125707e-05,1.5179496048466929e-05,5.936433238745885e-06,2.1417843879442357e-05,1.3226003960125707e-05,1.5179496048466929e-05,1.0279950367743294e-05
"[TG(49:7),TG(48:0)]_FA20:4",0,3.727592934317488,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,6.834590511572649e-06,2.1436389840903553e-05,1.4091171543609763e-05,1.626143481044438e-05,6.834590511572649e-06,2.1436389840903553e-05,1.4091171543609763e-05,1.626143481044438e-05,1.0936514593633933e-05
"[TG(49:7),TG(48:0)]_FA22:5",0,3.835324681832836,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,7.046078580922965e-06,2.3616536260595275e-05,1.560368183819731e-05,1.7903779833076e-05,7.046078580922965e-06,2.3616536260595275e-05,1.560368183819731e-05,1.7903779833076e-05,1.1235100224018504e-05
"[TG(49:7),TG(48:0)]_FA22:6",0,3.964859014351168,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,7.64874755779166e-06,2.559611471005432e-05,1.6976502565891055e-05,1.9543516127047875e-05,7.64874755779166e-06,2.559611471005432e-05,1.6976502565891055e-05,1.9543516127047875e-05,1.2906693611783684e-05
"[TG(49:8),TG(48:1)]_FA14:0",0,3.886433916052948,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.331200110452082e-06,1.9579418590691362e-05,1.681114623766411e-05,1.7147179402184755e-05,5.331200110452082e-06,1.9579418590691362e-05,1.681114623766411e-05,1.7147179402184755e-05,2.339516710985597e-05
"[TG(49:8),TG(48:1)]_FA16:0",0,4.480372506537927,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,1.1692250439955001e-05,3.586354657194247e-05,2.7830052935365875e-05,2.3342173191329985e-05,1.1692250439955001e-05,3.586354657194247e-05,2.7830052935365875e-05,2.3342173191329985e-05,1.7431078932992974e-05
"[TG(49:8),TG(48:1)]_FA16:1",0,4.337197754814087,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,1.053532288027113e-05,3.388980618310545e-05,2.769081730775007e-05,1.8449054283165527e-05,1.053532288027113e-05,3.388980618310545e-05,2.769081730775007e-05,1.8449054283165527e-05,1.4382258978422482e-05
"[TG(49:8),TG(48:1)]_FA18:0",0,3.390455121505949,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,4.870275199701628e-06,1.7953238179484957e-05,1.166102490476912e-05,1.3375394621726689e-05,4.870275199701628e-06,1.7953238179484957e-05,1.166102490476912e-05,1.3375394621726689e-05,8.052727918140581e-06
"[TG(49:8),TG(48:1)]_FA18:1",0,3.7771737558890575,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,6.367511844765757e-06,1.871841879254983e-05,1.885765717341915e-05,1.5153406224002075e-05,6.367511844765757e-06,1.871841879254983e-05,1.885765717341915e-05,1.5153406224002075e-05,1.2831235780400432e-05
