lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,G2M-P_x,G2M-Q_x,G2M-R_x,G2M-S_x,G2M-P_y,G2M-Q_y,G2M-R_y,G2M-S_y,Blank1
[TG(41:2)]_FA18:2,0,3.5131157230043644,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.434376432409203e-05,8.077630706844921e-06,1.24707867367981e-05,1.3204543514230385e-05,1.434376432409203e-05,8.077630706844921e-06,1.24707867367981e-05,1.3204543514230385e-05,8.856962049746344e-06
[TG(42:0)]_FA14:0,0,4.545464385794976,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.8568550801595532e-05,1.3270322655613926e-05,2.4756290823271543e-05,1.6754612582043965e-05,1.8568550801595532e-05,1.3270322655613926e-05,2.4756290823271543e-05,1.6754612582043965e-05,5.620162738132205e-05
"[TG(42:0)]_FA16:0 | DG(44:7),DG(43:0)_C16:0",0,4.885804795441912,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,DAG,2.9860205008842464e-05,2.0888551971006093e-05,3.719037917504105e-05,3.556872201545105e-05,2.9860205008842464e-05,2.0888551971006093e-05,3.719037917504105e-05,3.556872201545105e-05,2.4271613594356855e-05
"[TG(42:0)]_FA16:0 | DG(44:7),DG(43:0)_C16:0",0,4.885804795441912,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.6815651012811842e-05,1.4432329552367403e-05,1.8431388831752464e-05,2.253960894296041e-05,1.6815651012811842e-05,1.4432329552367403e-05,1.8431388831752464e-05,2.253960894296041e-05,1.2067083464428016e-05
"[TG(42:0)]_FA18:0 | DG(44:7),DG(43:0)_C18:0",0,4.263776346940909,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,DAG,2.101315523914903e-05,1.3608121990142698e-05,2.1709193775993842e-05,2.2225791891443327e-05,2.101315523914903e-05,1.3608121990142698e-05,2.1709193775993842e-05,2.2225791891443327e-05,1.8225576907697594e-05
"[TG(42:0)]_FA18:0 | DG(44:7),DG(43:0)_C18:0",0,4.263776346940909,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.21352945130133e-05,7.479518114794692e-06,1.3877414598145221e-05,1.1767555159809853e-05,1.21352945130133e-05,7.479518114794692e-06,1.3877414598145221e-05,1.1767555159809853e-05,8.204779345168143e-06
[TG(42:1)]_FA14:0,0,3.663110556782215,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.1187463487918731e-05,9.980420516425151e-06,1.2218596326402924e-05,1.2962482637302374e-05,1.1187463487918731e-05,9.980420516425151e-06,1.2218596326402924e-05,1.2962482637302374e-05,1.8787534493186898e-05
"[TG(42:1)]_FA16:0 | DG(44:8),DG(43:1)_C16:0",0,4.311069591536892,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,DAG,2.8032278659259274e-05,1.4828384751260499e-05,2.005104700485417e-05,2.028278258925916e-05,2.8032278659259274e-05,1.4828384751260499e-05,2.005104700485417e-05,2.028278258925916e-05,1.552856862261614e-05
"[TG(42:1)]_FA16:0 | DG(44:8),DG(43:1)_C16:0",0,4.311069591536892,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.1441943335487818e-05,7.120084912405239e-06,1.2862610731571704e-05,1.1352859957536156e-05,1.1441943335487818e-05,7.120084912405239e-06,1.2862610731571704e-05,1.1352859957536156e-05,9.371048850749328e-06
"[TG(42:1)]_FA16:1 | DG(44:8),DG(43:1)_C16:1",0,4.390797415154204,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,2.0237721032324815e-05,7.30955791304556e-06,1.4518519864492741e-05,1.4454685980897915e-05,2.0237721032324815e-05,7.30955791304556e-06,1.4518519864492741e-05,1.4454685980897915e-05,9.909963715396298e-06
