lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,GDM-P,GDM-Q,GDM-R,GDM-S,GDF-J,GDF-L,GDF-M,GDF-N,Blank1
"[TG(53:10),TG(52:3)]_FA18:3",-0.0900571300253218,3.7668235443649856,0.1218454085805378,0.7270415502202124,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,6.09475327758401e-06,1.835234402993533e-05,1.4262421812593845e-05,1.454396141081546e-05,1.4717301919605287e-05,1.5647762407279122e-05,1.8557556933487557e-05,1.6662062299147978e-05,9.499895123610062e-06
"[TG(53:10),TG(52:3)]_FA20:4",-0.0265122910234354,3.823552601272365,0.0105640952760683,0.9181361623551872,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,6.605143003834284e-06,1.9197594575919155e-05,1.4549378303022806e-05,1.4819121310998746e-05,1.4772154969910916e-05,1.6647253310106223e-05,1.7680901528111383e-05,1.6112546689774028e-05,1.1641274161145152e-05
"[TG(53:10),TG(52:3)]_FA22:5",-0.0915530644559058,3.961214002392878,0.1261167648696367,0.7224927850299069,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,7.229116657267448e-06,2.0549816055154884e-05,1.615192397019749e-05,1.6317981065889487e-05,1.606235920500297e-05,2.030397438797249e-05,2.016053488864554e-05,1.8083011418120338e-05,1.1232503890750353e-05
"[TG(53:10),TG(52:3)]_FA22:6",-0.0901280162563324,4.100451825450657,0.1223447421075345,0.7265052112458569,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,7.86994876957128e-06,2.2322568989184674e-05,1.8509519790874458e-05,1.7815650701105108e-05,1.830714289838458e-05,1.9247688791824427e-05,2.4740593670093175e-05,2.0327721453804386e-05,1.2263436073640125e-05
[TG(53:6)]_FA14:0,0.0322084024603748,3.401743573978212,0.0155307204949917,0.9008225641663216,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,5.018235528988012e-06,1.5110721822540298e-05,1.1166200233214469e-05,1.1465312673521775e-05,1.1182081336784014e-05,1.1415727918490065e-05,1.3527909475620393e-05,1.2299000555000407e-05,7.819214259891641e-06
[TG(53:6)]_FA16:0,0.0441553916211803,3.4612735834667805,0.029205554058838,0.8643052860111046,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,4.994001488081159e-06,1.5276721029968354e-05,1.1131709286077106e-05,1.3374531903136732e-05,1.2276814469460414e-05,1.1428322567076973e-05,1.3515522715951395e-05,1.2750608174095184e-05,8.408272056576492e-06
[TG(53:6)]_FA16:1,0.0095619224065908,3.5228913087624254,0.0013705918218108,0.9704678590968032,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,5.4418041950688615e-06,1.5450197739818473e-05,1.2671373127798278e-05,1.2367913300343713e-05,1.2280765647821612e-05,1.2594870907001211e-05,1.4765755681474105e-05,1.3433401790404567e-05,8.511965677707517e-06
[TG(53:6)]_FA18:0,0.0262291982869415,3.4412174434664817,0.0103047662748592,0.9191437188488074,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,5.0783991501889545e-06,1.4208044493804642e-05,1.2390751613393746e-05,1.2167970153112371e-05,1.1578834802125352e-05,1.2330383467976936e-05,1.3721877194909585e-05,1.2367689914510728e-05,7.794223948632e-06
[TG(53:6)]_FA18:1,0.0247864044901061,3.521051350443681,0.0092093958690562,0.9235478957800176,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,5.452762220465537e-06,1.61261588130092e-05,1.2335378270667444e-05,1.2336731656373708e-05,1.2177800272478772e-05,1.2429714635310496e-05,1.4699879860386576e-05,1.3421611638194201e-05,8.511803461043333e-06
[TG(53:6)]_FA18:2,0.0228240561318771,3.5855770797874373,0.0078139883261738,0.9295613312031475,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,6.107186471639717e-06,1.6150984214609798e-05,1.2660814610660457e-05,1.2795172755935657e-05,1.284812098197342e-05,1.3110062573810504e-05,1.5290510033949747e-05,1.3940371002536384e-05,8.861343447252895e-06
[TG(53:6)]_FA18:3,0.0251631879728898,3.7102183696942936,0.0095079658747381,0.9223223469700792,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,6.461846213966228e-06,1.732314828212017e-05,1.4295739700555957e-05,1.382868863542845e-05,1.3602115286736085e-05,1.4168249471340584e-05,1.703284112951978e-05,1.5037095482130308e-05,1.0133253947722103e-05
