lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,G4F-J,G4F-L,G4F-M,G4F-N,G4M-P,G4M-Q,G4M-R,G4M-S,G2F-J,G2F-L,G2F-M,G2F-N,G2M-P,G2M-Q,G2M-R,G2M-S,Blank1
FA(38:4),0.1566658095809089,8.639042243571529,0.5907958796651656,0.4421115219190019,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.0004887979340088679,0.0006364607714964451,0.0004487765467621385,0.000830258758612759,0.00036752757089231474,5.261852862238485e-05,7.243218434734476e-05,7.609106573367408e-05,0.0005404129748708062,0.0006134630359800523,0.0004767212466238555,0.0006408497480540381,7.669199431073692e-05,0.0003797498914633703,3.7735710307481375e-05,7.43035717551735e-05,0.0006961395326027992
FA(38:5),0.3012787644587618,9.586713638506424,2.182451514290051,0.1395919530498481,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.0008026642830485861,0.001885741849834216,0.0008128791790299495,0.0028772060250478572,0.000625896771072309,0.00016679768992824187,0.00015170030427022615,0.00014937853310558838,0.0009125379602521975,0.0008463049441358447,0.0012366489883526876,0.0017849684834046564,0.00020326600936274614,0.0007011969368591196,0.0001496572714016142,0.00017293995947751897,0.00021541112022038306
FA(38:6),0.0057461881775392,8.06942502967224,0.0007950537481065112,0.97750527121715,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.0002712903219627915,0.0003479036217029779,0.00023799779080951102,0.0006364954896315747,0.000267816425674942,7.533869032719503e-05,0.00010525449570798927,9.956524993055822e-05,0.0003045516132733163,0.00038803985201785814,0.0003099102083704906,0.00040469086149279374,0.00011566196104230441,0.00032375184440315785,0.00011009872228067233,0.00013865772553145464,0.00026843751781223824
FA(4:0),-0.1778905125031787,8.18943687005114,0.7615134669156305,0.3828553017007944,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.0002465590317170813,0.00023859200863589336,0.00024852608202198317,0.0002522102786562744,0.00011604650040986241,0.0003663535551897021,0.0003300949704735449,0.0003907356987262509,0.00023483367341925799,0.00027023419454637397,0.00027846109259697976,0.0002430095346712128,0.0003773712788613352,0.00015170609821184194,0.0003942238796251068,0.0004183884221560911,0.0004041088783523101
FA(4:1),-0.1168968184390382,12.66455443853471,0.3291164641595969,0.5661798097022941,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.006971660882836525,0.007554914062232169,0.0069465024394406594,0.00932023555075127,0.002598593335226908,0.005396261182719244,0.006546681389335696,0.007101538919814375,0.00696027544265425,0.007593488899360115,0.006984107848693181,0.009673051728047295,0.006204152345995095,0.0034886213713635336,0.006719452463292108,0.007990757432344833,0.005643120792089826
FA(40:6),0.1094524148748921,8.243719908828156,0.2884107742447668,0.5912407478940318,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.0003826607448665992,0.0003160695902129592,0.00026042806106093376,0.0007562148014689818,0.000315220609219437,0.00013101519429112378,0.00012493938820188266,0.00011868141943937178,0.0003581531463603329,0.00037413739161459034,0.0003405793339639589,0.0005666505755685594,0.00017287920126696452,0.00031708549990670847,0.00011484245166677472,9.126203857031797e-05,0.00028500820800815357
FA(42:6),-0.0198427829472727,7.608053674412708,0.0094788736760733,0.92244090034627,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.0002676303572168651,0.0002586326883575312,0.00016702453407308862,0.00027058718182020345,0.00022093521221273863,0.00010737496332446838,7.706397517198009e-05,6.457560353192791e-05,0.0002628770321285246,0.0002916859961827438,0.0002345912678732163,0.0003153219335991198,9.354762981016114e-05,0.00022210578846063522,4.422262397280636e-05,0.0001231854073774432,0.0001504344782467609
FA(46:0),-0.4753798289939866,7.490785058085109,5.415711147243513,0.0199563226304415,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.0002056905544995892,0.00021458786936848407,0.00012126863053229682,0.00022653345912182772,0.00017502755164920853,7.678250443189953e-05,5.867036086967751e-05,5.5920613450118956e-05,0.000193974213893726,0.00022600636050183298,0.0002876764928368264,0.0002491234249887865,6.30338202196582e-05,0.0003845029722007157,7.117590121417166e-05,0.00010618150775904442,0.00010460302604275629
FA(5:0),-0.270145890229272,11.40423488593174,1.755536585920254,0.1851822175912064,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.000805418464870725,0.0008934019724704932,0.0010369803655634368,0.0007312201194545215,0.0018986714393911504,0.003328921938753136,0.004421285129499546,0.0035619863259337627,0.0012858912338364517,0.0028054537422893015,0.004255477219872281,0.0006502931344189685,0.004104410776707512,0.0011154504366232996,0.0043305309759644394,0.002635834011277195,0.005520755561334651
FA(5:1),-0.1249567550073114,10.735419382193951,0.3760276779959213,0.5397368606425158,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.001221329175534835,0.001363445893931933,0.0012533717987812548,0.0020326508232479707,0.0009918736804380044,0.001965647233629469,0.002176816399558061,0.0023808925296905656,0.001382099525807273,0.0013925564491914428,0.0014507578538632798,0.001822674247919919,0.002598416414193892,0.0010311752331477124,0.0021754386972716367,0.0024376568475286977,0.001368910517661531
FA(5:2),-0.1468831223456553,14.44255230751063,0.5195486869488377,0.4710342627919143,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.007230796215992418,0.011201270154737368,0.01200266999358213,0.017969746824816276,0.016918613547687106,0.03518259562433235,0.03371933202390755,0.04088268284228331,0.009113788719304343,0.013354880355214283,0.012867932634346336,0.01688995503660586,0.04206619037444673,0.01682950905013887,0.03406269486284158,0.044164277396111125,0.00811880248421998
FA(6:0),-0.0985632017470187,10.20652432176128,0.2339698103078262,0.6285957700831111,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.0009873418574061217,0.0009872849882662227,0.0009365648489280766,0.0010933709961664759,0.00048033570050379926,0.0014356779552523427,0.001324400912929936,0.0015056467407640816,0.0009106448363904706,0.0011248295167727654,0.000957606696743274,0.0009351682050310963,0.0014382324348004407,0.0005589456888456686,0.0014565483051953907,0.0016184155431480367,0.002128436544986643
FA(6:1),-0.0881938226713563,14.560844439072016,0.1873608021996915,0.6651223366136262,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.01504573424068521,0.0171754794659648,0.015899362693358378,0.021715526071051088,0.014969297782890013,0.031395723224022586,0.03273887829317229,0.037990971221327684,0.014930855391465877,0.018552131997392442,0.016284611031095228,0.01780422488381395,0.03482040559229874,0.016903715978414304,0.03340056123104581,0.03977427880276191,0.024003003561459093
FA(6:2),-0.2037592148174148,11.731535815509858,0.999376201410996,0.3174614959525288,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.001349064804026863,0.0017507323035209855,0.000970136867511666,0.0031661778291407474,0.003436265253288588,0.005480115299529017,0.0034982947275122383,0.005901306142963557,0.0019973579129623272,0.0016956880359742079,0.0016207727238763481,0.0022428248834011196,0.006883354392317414,0.003951268403583074,0.006446517905872686,0.0038691347993354795,0.0008194495943958896
