lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,G4M-P,G4M-Q,G4M-R,G4M-S,G2M-P,G2M-Q,G2M-R,G2M-S,Blank1
"[TG(38:1)]_FA18:1 | DG(40:8),DG(39:1)_C18:1",0.0249927836441738,4.55002123560458,0.0058528362086889,0.9390182659474756,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.780945431322276e-06,1.7707679941800416e-05,1.2610460652885994e-05,1.5254634141799471e-05,1.377318410671855e-05,8.42985261994748e-06,1.1987216587388392e-05,1.74183577524479e-05,9.907529536889386e-06
[TG(39:0)]_FA14:0,-0.125678671643202,3.436551479057673,0.1472140325321227,0.7012120732470133,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,4.917762668263184e-06,1.6485382974808894e-05,1.2607735111002308e-05,1.241529449553717e-05,1.1859177059733372e-05,7.595605829303624e-06,1.3969384529407495e-05,1.1774311359809647e-05,1.0198812910316474e-05
[TG(39:0)]_FA16:0,0.2399457170107997,3.6348080608706574,0.5368408013336499,0.463744957849752,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,7.512234165736897e-06,2.5740015309006244e-05,1.2509838543781699e-05,1.5569797366203602e-05,1.2782077556184714e-05,8.066884554324048e-06,1.3518261265215274e-05,1.18318560608642e-05,1.0403766097877499e-05
[TG(39:0)]_FA18:0,-0.0757928162298074,3.4043072640262144,0.0535512041944645,0.8169952630492938,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,4.90176253473911e-06,1.728902850935588e-05,1.134007917774723e-05,1.4202176491830012e-05,1.1488276405252745e-05,8.273466617729407e-06,1.1478583797295634e-05,1.275047561240644e-05,8.511965770561932e-06
[TG(39:1)]_FA14:0,-0.0021884605259457,3.3579011863726667,4.463196698623051e-05,0.9946695994569528,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.656021994318935e-06,1.638097750479846e-05,1.0804715462376302e-05,1.2410598395805204e-05,1.2295931956054094e-05,7.13592155493835e-06,1.0641007006633828e-05,1.1168809963995189e-05,9.299485735928605e-06
[TG(39:1)]_FA16:0,0.3744762382426984,3.5632250239472567,1.3050906826476345,0.253285441390584,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,6.163203375930591e-06,1.9570832764297185e-05,2.323414744465022e-05,1.2356853579346594e-05,1.2584514606366151e-05,7.1292758426901115e-06,1.1395564760356137e-05,1.1840476279211501e-05,8.206402223693833e-06
[TG(39:1)]_FA16:1,-0.0214615677639611,3.4785544811709146,0.0042964062610195,0.9477385040819324,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.358277149641165e-06,1.980265354873973e-05,1.2918459492760271e-05,1.3551239076220678e-05,1.5671433347756797e-05,7.288913933107576e-06,1.1607476317022943e-05,1.2090225232003852e-05,8.510018458707876e-06
[TG(39:1)]_FA18:0,0.0006933075727360724,3.37773852274218,4.48101467043216e-06,0.9983110067263395,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.508431559660793e-06,1.632259303374453e-05,1.3023851213514853e-05,1.2354505803172194e-05,1.2328153434610186e-05,7.2030854936445085e-06,1.1826996150936515e-05,1.1547626856792324e-05,7.798118603291585e-06
[TG(39:1)]_FA18:1,-0.1565520640909541,3.65267184551174,0.2287112167793097,0.6324810926982319,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,6.550691975039759e-06,1.9237010632942496e-05,1.2969111110078627e-05,1.4753973261189962e-05,1.439668292570414e-05,9.888229301565338e-06,1.402197092685122e-05,1.5479308844924294e-05,1.0176743582313653e-05
[TG(40:0)]_FA14:0,0.329324865200278,4.402735053211902,1.0121518000043892,0.3143878856801039,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.806073680998057e-06,3.0050165992067373e-05,3.2353500697447215e-05,1.8414876573804503e-05,1.3584323526119732e-05,1.0947298561243288e-05,2.1801387910692564e-05,1.199983105132361e-05,4.812325948052682e-05
