lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,G4F-J,G4F-L,G4F-M,G4F-N,G2F-J,G2F-L,G2F-M,G2F-N,Blank1
CE(52:3;O2),-0.0022368555147136,6.014787803660878,0.00022570844607727736,0.9880133553729284,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,CE,0.0003021021894249529,0.0003012414616418342,0.00014908684794104734,0.0004582348504786471,0.00031419931186190667,0.00026295769232466485,0.00023347462043200697,0.00040055344226989437,0.0001276124940898676
Cer(26:0),0.1015461967248447,3.842187564669218,0.4504948006263107,0.50210007506196,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,Cer,7.143457519412298e-05,6.9009717754552e-05,3.415940126816691e-05,0.00010032495000579243,6.647134947640415e-05,5.6675956774081066e-05,4.946675192252989e-05,8.463112728222593e-05,2.930721499040087e-05
Cer(30:2),0.0379694726268642,3.9352404427093104,0.0631381699649695,0.8016029724601058,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,Cer,6.383638183975884e-05,6.997963901897954e-05,4.006507318591883e-05,0.00010761724687846693,7.129133173682728e-05,6.090242244875667e-05,5.54255876153174e-05,9.01702649426675e-05,3.298257179853705e-05
Cer(32:3:13),0.071392482040624,3.83938600582934,0.2226758614695967,0.6370085665077978,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,Cer,6.388001537620461e-05,8.036523938524444e-05,3.15325181723668e-05,9.736515607954645e-05,6.636339328826421e-05,5.736255202852234e-05,5.060803915520547e-05,8.455423813747985e-05,2.9395844183309793e-05
Cer(34:3:15),0.0626611067529489,3.803950398942683,0.171429419125473,0.67884454973178,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,Cer,6.384699550602547e-05,7.520847140624492e-05,3.153193464827299e-05,9.729129671312934e-05,6.633640441672017e-05,5.564811931913694e-05,4.947040962887759e-05,8.459189706394527e-05,2.689820382640145e-05
Cer(31:1),0.02625851943983,3.841757917168918,0.0301422396251602,0.8621678811460722,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,Cer,6.661833699927368e-05,7.233533018759076e-05,3.154243986303474e-05,0.00010436741963768509,6.634253864468719e-05,5.5644008073612746e-05,5.410414535030519e-05,9.12529852667454e-05,2.6896701411683998e-05
Cer(35:2),0.0179540265067127,3.8303404923618376,0.0140803835244476,0.9055441005783834,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,Cer,6.686245064860829e-05,6.523399513844622e-05,3.4190333054407136e-05,9.729850167530503e-05,6.989035956835848e-05,5.568101104772943e-05,4.944023154561386e-05,8.869054651795804e-05,2.9386830841084564e-05
Cer(37:2),-0.0034266743861153,3.818714225536389,0.0005129521821327643,0.9819306980676776,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,Cer,6.389770541980238e-05,6.559313756544574e-05,3.2133065429482726e-05,0.00010550053626337345,7.260765736225246e-05,5.8279381933426674e-05,4.945394890375892e-05,8.456836060902147e-05,2.6890692707880424e-05
Cer(33:1),0.0107733314039735,3.796204584634949,0.0050666081448369,0.9432544107022336,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,Cer,6.386822306349124e-05,6.402425140813598e-05,3.151267490234799e-05,0.00010476013766495132,6.959225424662658e-05,5.5649147375573397e-05,4.9469495638354845e-05,8.456365331803672e-05,2.691522864635593e-05
Cer(39:1),0.0473038605272874,3.797074941200429,0.0976789942186489,0.7546329129074623,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,Cer,6.647564205283027e-05,6.399944165139208e-05,3.2067115741223656e-05,0.00010437282378881767,6.633517785191231e-05,5.568306618038072e-05,4.945303456438483e-05,8.455737563311776e-05,2.6920736799938013e-05
Cer(31:0),-0.0131795234914038,3.803253550193596,0.0075829692716027,0.9306077270106206,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,Cer,6.381869202109363e-05,6.525053430027874e-05,3.244530291606137e-05,9.731471481590412e-05,6.93751162414906e-05,5.801214430884693e-05,4.946309386733085e-05,8.455423783818616e-05,2.7840577054661716e-05
Cer(32:0),0.0145842424360642,3.79288896884252,0.0092840160516365,0.9232397431760264,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,Cer,6.387411899491538e-05,6.597826981418347e-05,3.2783220249401787e-05,9.730750916652712e-05,6.850288242063155e-05,5.566970438737167e-05,4.947223883090278e-05,8.453697757171293e-05,2.694126652201577e-05
Cer(33:0),-0.0346400758795123,3.792380951343772,0.0523733623230153,0.8189837376470055,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,Cer,6.38835528900726e-05,6.405024190587094e-05,3.153193442563884e-05,9.724085579308764e-05,6.941559989978855e-05,5.598730619094419e-05,5.1876440491959954e-05,8.451030212468285e-05,2.69187339305057e-05
Cer(34:0),0.0015376864403287,3.854972281931652,0.00010340746006676228,0.9918864949253314,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,Cer,7.076709466523313e-05,6.702616392380939e-05,3.294780187312451e-05,0.00010244886833186685,7.723503712547997e-05,5.562550737073169e-05,5.318050734362805e-05,8.565735831872466e-05,2.6921738377914108e-05
Cer(35:0),0.0528067642284326,3.855413051337551,0.1218507312473207,0.7270358265968828,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,Cer,6.561004050340532e-05,7.08538675353851e-05,3.3360422312716534e-05,0.0001023605962922931,6.64014231149826e-05,5.727929670907007e-05,5.264187127421769e-05,8.457149840395308e-05,3.147337200392495e-05
Cer(36:0),0.012282078998348,3.81504645965146,0.0065818614025935,0.9353396239671632,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,Cer,6.571381807371773e-05,6.401952483885576e-05,3.154710861237059e-05,9.738857452592188e-05,6.635112576828198e-05,5.564195313700578e-05,4.944023172003953e-05,8.456051462522408e-05,3.271918792598396e-05
Cer(37:0),-0.0464241820895542,3.8251173964771903,0.0941389905327261,0.7589797911295058,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,Cer,6.38682228385587e-05,6.400771224630347e-05,3.3421119393594726e-05,9.73327287675463e-05,6.634744560588248e-05,5.755681313361546e-05,5.034832334097211e-05,9.67732937632479e-05,2.8373353885597978e-05
Cer(38:0),0.0745358074154692,3.809162782032545,0.2425911093621924,0.6223409107930352,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,Cer,6.971988101816631e-05,6.788267118539788e-05,3.221593965412083e-05,0.00010066002112003934,6.636584758781967e-05,5.56542870696227e-05,4.944023172003953e-05,8.454639185438877e-05,2.6897202248425357e-05
Cer(39:0),0.1657878066511596,3.875312962310167,1.202008733078733,0.2729205666144995,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,Cer,9.087052595503043e-05,7.293429485514074e-05,3.15173442082692e-05,9.723545129835441e-05,7.096255714716392e-05,5.563578558256436e-05,4.9506990180867994e-05,8.456365271944938e-05,2.7124032774895814e-05
Cer(40:0),0.027111378093477,3.835907840615296,0.0321225486214913,0.8577589578381365,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,Cer,6.475269307802819e-05,7.19301140753926e-05,3.4008242924943274e-05,9.730390548283697e-05,6.873842217371677e-05,5.804297972852217e-05,5.2536704454779e-05,8.450873232933599e-05,2.754314373321291e-05
Cer(41:0),-0.0296044289329684,3.807053856758893,0.0382713575320323,0.8448992559337564,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,Cer,6.57020253111393e-05,6.403842751066065e-05,3.2280137879561896e-05,9.738857486952255e-05,6.63707540810391e-05,5.566970497550465e-05,5.6381232732857794e-05,8.455423753889249e-05,2.6897703085166716e-05
Cer(42:0),0.0085256319645868,3.779434436823351,0.0031712904829587,0.9550914971936156,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,Cer,6.385171211620529e-05,6.402779543376715e-05,3.153193442563884e-05,9.926389159187742e-05,6.634376520949505e-05,5.566353683293025e-05,4.9438402866865685e-05,8.455266864142669e-05,2.69097206837871e-05
Cer(43:0),0.0687985438296311,3.842945861658039,0.206846514677661,0.6492503818170571,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,Cer,7.139212097892158e-05,6.398999144215088e-05,3.1520262274006546e-05,0.00011333147183391057,6.887214020061697e-05,5.5617284291550336e-05,5.184809143629574e-05,8.4552668342133e-05,2.8488021049673342e-05
